TYPE,DESC,CLASS,NBR_ENG,MODEL_CLASS,ENG_ID,FUEL_TO,FUEL_CO,FUEL_APP,FUEL_IDLE,FUEL_LTO
SKAR,L1P,LP,1,piston,_Rotax 912,0.0042,0.0036,0.0018,6e-4,NA
SKRA,L1P,LP,1,piston,_Rotax 912,0.0042,0.0036,0.0018,6e-4,NA
SLG2,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
SLG4,L1P,LP,1,piston,_Rotax 914,0.0072,0.0056,0.0029,0.0018,NA
SR20,L1P,LP,1,piston,_IO-360-A1B6,0.0136,0.0106,0.0062,0.0014,NA
SR22,L1P,LP,1,piston,_IO-550-B,0.0182,0.018,0.0098,0.0038,NA
SU95,L2J,LJ,2,regional,01P11PJ003,0.791,0.653,0.228,0.097,326
SVNH,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
SW4,L2T,LT,2,turboprop,_TPE331-12,0.0728,0.0646,0.0382,0.019,NA
T134,L2J,LJ,2,regional,1AA001,1.15,0.975,0.35,0.13,464
T154,L3J,LJ,3,narrowbody,1KK001,1.75,1.17,0.58,0.24,742
T204,L2J,LJ,2,narrowbody,1AA005,1.739,1.431,0.489,0.178,657
T206,L1P,LP,1,piston,_TIO-540-J2B2,0.0327,0.0258,0.0125,0.0032,NA
T210,L1P,LP,1,piston,_TSIO-520-WB,0.027,0.023,0.014,0.006,NA
T33,L1J,LJ,1,warbird,_J85-GE-21,1.3419,0.4032,0.1512,0.0504,NA
T34T,L1T,LT,1,warbird,_PT6A-20,0.0477,0.0423,0.0244,0.0149,NA
TARR,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
TB20,L1P,LP,1,piston,_IO-540-T4A5D,0.0167,0.0148,0.0074,0.0025,NA
TB21,L1P,LP,1,piston,_TIO-540-J2B2,0.0327,0.0258,0.0125,0.0032,NA
TBM7,L1T,LT,1,turboprop,_PT6A-65R,0.0929,0.0824,0.0464,0.0251,NA
TBM8,L1T,LT,1,turboprop,_PT6A-34,0.0566,0.05,0.0272,0.0147,NA
TBM9,L1T,LT,1,turboprop,_PT6A-34,0.0566,0.05,0.0272,0.0147,NA
TEX2,L1T,LT,1,military,_PT6A-50,0.0824,0.0727,0.0412,0.0219,NA
TL20,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
TL30,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
TOUR,L1P,LP,1,piston,_O-320-E2A,0.01,0.008,0.0048,0.0013,NA
TRIS,L3P,LP,3,piston,_IO-540-T4A5D,0.0167,0.0148,0.0074,0.0025,NA
U16,A2P,AP,2,piston,_R-1820,0.1469,0.1086,0.0407,0.0112,NA
U2,L1J,LJ,1,military,_F118-GE-100,1.3717,0.8001,0.4754,0.1382,NA
UF10,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
V10,L2T,LT,2,warbird,_T76-G-12A,0.0481,0.0481,0.0267,0.0227,NA
VAMP,L1J,LJ,1,warbird,_CJ610-2C,0.35027,0.30617,0.12915,0.06426,NA
VL3,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
VTOR,L2T,LT,2,turboprop,_T63-A-5A,0.0271,0.022,0.01323,0.0077,NA
WT9,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
WW24,L2J,LJ,2,business,1AS002,0.225,0.186,0.072,0.026,92
XL2,L1P,LP,1,piston,_IO-320-D1AD,0.0116,0.0077,0.0047,0.001,NA
YK40,L3J,LJ,3,regional,1AS001,0.205,0.173,0.067,0.024,85
YK42,L3J,LJ,3,narrowbody,1ZM001,0.634,0.533,0.211,0.092,265
ZEPH,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
